post_title,sku,stock,regular_price,sale_price,whole_price,weight,product_url,low_stock_amount,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_gift-card-amount,attribute_data:pa_gift-card-amount,attribute_default:pa_gift-card-amount,attribute:pa_line,attribute_data:pa_line,attribute_default:pa_line,attribute:pa_number,attribute_data:pa_number,attribute_default:pa_number
ColourPop Ultra Matte Lip - Chilly Chili,L3806,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - Creeper,L3807,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - Star Crossed,L3808,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - Gingham,L3809,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - Most Likely to,L38011,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - Take a pixie,L38012,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - T'D Up,L38013,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - Lil Pump,L38014,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Ultra Matte Lip - Sun Showers,L38015,1,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
ColourPop Liquid Lip - Saigon,L3901,2,850,790,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,ColourPop,0|1|0,,,,,ColourPop Lipstick,1|1|0,,20,2|0|0,
Maybelline Super Stay Matte Ink Liquid Lipstick - 5 Loyalist,L4105,3,1050,990,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Maybelline,0|1|0,,,,,Maybelline Lipstick,1|1|0,,20,2|0|0,
